ImageUrl,Name,Quantity,Price
https://cdn.chaldal.net/_mpimage/nestle-koko-krunch-breakfast-chocolate-cereal-box-330-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45545&q=low&v=1&m=400&q=low&w=200,Nestlé KOKO KRUNCH Breakfast Chocolate Cereal Box,330 gm,৳ 350
https://cdn.chaldal.net/_mpimage/nestle-corn-flakes-breakfast-cereal-box-275-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45544&q=low&v=1&m=400&q=low&w=200,Nestlé Corn Flakes Breakfast Cereal Box,275 gm,৳ 330
https://cdn.chaldal.net/_mpimage/quaker-oats-australia-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45548&q=low&v=1&m=400&q=low&w=200,Quaker Oats Australia,1 kg,৳ 575
https://cdn.chaldal.net/_mpimage/quaker-white-oats-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45556&q=low&v=1&m=400&q=low&w=200,Quaker White Oats,500 gm,৳ 350
https://cdn.chaldal.net/_mpimage/nestle-milo-breakfast-chocolate-cereal-box-330-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45547&q=low&v=1&m=400&q=low&w=200,Nestlé MILO Breakfast Chocolate Cereal Box,330 gm,৳ 360
https://cdn.chaldal.net/_mpimage/nestle-koko-krunch-duo-cereal-box-330-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45546&q=low&v=1&m=400&q=low&w=200,Nestlé Koko Krunch Duo Cereal Box,330 gm,৳ 350
https://cdn.chaldal.net/_mpimage/vitalia-crunchy-muesli-with-blackberry-raspberry-320-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45566&q=low&v=1&m=400&q=low&w=200,Vitalia Crunchy Muesli With Blackberry & Raspberry,320 gm,৳ 315
https://cdn.chaldal.net/_mpimage/vitalia-fruit-muesli-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45571&q=low&v=1&m=400&q=low&w=200,Vitalia Fruit Muesli,1 kg,৳ 858
https://cdn.chaldal.net/_mpimage/shezan-choko-crunch-170-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45558&q=low&v=1&m=400&q=low&w=200,Shezan Choko Crunch,170 gm,৳ 190
https://cdn.chaldal.net/_mpimage/vitalia-crunchy-muesli-with-apple-hazelnut-320-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45565&q=low&v=1&m=400&q=low&w=200,Vitalia Crunchy Muesli With Apple & Hazelnut,320 gm,৳ 315
https://cdn.chaldal.net/_mpimage/vitalia-go-nutri-oat-flakes-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45574&q=low&v=1&m=400&q=low&w=200,Vitalia Go Nutri Oat Flakes,500 gm,৳ 280
https://cdn.chaldal.net/_mpimage/vitalia-breakfast-muesli-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45563&q=low&v=1&m=400&q=low&w=200,Vitalia Breakfast Muesli,1 kg,৳ 700
https://cdn.chaldal.net/_mpimage/kelloggs-special-k-original-435-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45542&q=low&v=1&m=400&q=low&w=200,Kellogg's Special K Original,435 gm,৳ 425
https://cdn.chaldal.net/_mpimage/alpen-blue-no-sugar-560-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D3400&q=low&v=1&m=400&q=low&w=200,Alpen Blue No Sugar,560 gm,৳ 730
https://cdn.chaldal.net/_mpimage/shezan-corn-flakes-150-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45559&q=low&v=1&m=400&q=low&w=200,Shezan Corn Flakes,150 gm,৳ 180
https://cdn.chaldal.net/_mpimage/vitalia-sugar-free-corn-flakes-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45575&q=low&v=1&m=400&q=low&w=200,Vitalia Sugar Free Corn Flakes,300 gm,৳ 470
https://cdn.chaldal.net/_mpimage/vitalia-crunchy-muesli-with-orange-chocolate-320-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45567&q=low&v=1&m=400&q=low&w=200,Vitalia Crunchy Muesli With Orange & Chocolate,320 gm,৳ 315
https://cdn.chaldal.net/_mpimage/kelloggs-fruit-n-fibre-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45541&q=low&v=1&m=400&q=low&w=200,Kellogg's Fruit n Fibre,500 gm,৳ 700
https://cdn.chaldal.net/_mpimage/vitalia-crunchy-muesli-with-banana-chocolate-320-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D35707&q=low&v=1&m=400&q=low&w=200,Vitalia Crunchy Muesli With Banana & Chocolate,320 gm,৳ 315
https://cdn.chaldal.net/_mpimage/vitalia-chocolate-muesli-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45564&q=low&v=1&m=400&q=low&w=200,Vitalia Chocolate Muesli,1 kg,৳ 832
https://cdn.chaldal.net/_mpimage/kelloggs-variety-pack-8-pcs-192-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45543&q=low&v=1&m=400&q=low&w=200,Kellogg's Variety Pack 8 pcs,192 gm,৳ 495
https://cdn.chaldal.net/_mpimage/vitalia-fit-active-muesli-650-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45568&q=low&v=1&m=400&q=low&w=200,Vitalia Fit & Active Muesli,650 gm,৳ 600
https://cdn.chaldal.net/_mpimage/vitalia-4-grain-flakes-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45562&q=low&v=1&m=400&q=low&w=200,Vitalia 4 Grain Flakes,250 gm,৳ 215
https://cdn.chaldal.net/_mpimage/lowan-whole-grain-rolled-oats-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D29355&q=low&v=1&m=400&q=low&w=200,Lowan Whole Grain Rolled Oats,1 kg,৳ 975
https://cdn.chaldal.net/_mpimage?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D46623&q=low&v=1&m=400&q=low&w=200,Post Oreo O's,250 gm,৳ 520
https://cdn.chaldal.net/_mpimage/nestle-koko-krunch-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D37728&q=low&v=1&m=400&q=low&w=200,Nestlé Koko Krunch,500 gm,৳ 620
