ImageUrl,Name,Quantity,Price
https://cdn.chaldal.net/_mpimage/complan-chocolate-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45484&q=low&v=1&m=400&q=low&w=200,Complan Chocolate,350 gm,৳ 385
https://cdn.chaldal.net/_mpimage/chicken-eggs-layer-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45481&q=low&v=1&m=400&q=low&w=200,Chicken Eggs (Layer),12 pcs,৳ 101
https://cdn.chaldal.net/_mpimage/quality-brown-premium-egg-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45476&q=low&v=1&m=400&q=low&w=200,Quality Brown Premium Egg,12 pcs,৳ 145
https://cdn.chaldal.net/_mpimage/purnava-vitamin-e-egg-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45508&q=low&v=1&m=400&q=low&w=200,Purnava Vitamin E Egg,12 pcs,৳ 160
https://cdn.chaldal.net/_mpimage/purnava-omega-3-enriched-egg-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45507&q=low&v=1&m=400&q=low&w=200,Purnava Omega 3 Enriched Egg,12 pcs,৳ 220
https://cdn.chaldal.net/_mpimage/horlicks-jar-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45477&q=low&v=1&m=400&q=low&w=200,Horlicks Jar,250 gm,৳ 195
https://cdn.chaldal.net/_mpimage/chocolate-horlicks-jar-550-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45483&q=low&v=1&m=400&q=low&w=200,Chocolate Horlicks Jar,550 gm,৳ 395
https://cdn.chaldal.net/_mpimage/horlicks-jar-free-tiffin-box-550-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45667&q=low&v=1&m=400&q=low&w=200,Horlicks Jar (Free Tiffin Box),550 gm,৳ 395
https://cdn.chaldal.net/_mpimage/horlicks-refill-550-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45512&q=low&v=1&m=400&q=low&w=200,Horlicks Refill,550 gm,৳ 375
https://cdn.chaldal.net/_mpimage/pedia-sure-venilla-delight-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45478&q=low&v=1&m=400&q=low&w=200,Pedia Sure Venilla Delight,400 gm,৳ 746
https://cdn.chaldal.net/_mpimage/womens-horlicks-jar-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45509&q=low&v=1&m=400&q=low&w=200,Women's Horlicks Jar,400 gm,৳ 480
https://cdn.chaldal.net/_mpimage/pedia-sure-complete-classic-venilla-900-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45506&q=low&v=1&m=400&q=low&w=200,Pedia Sure Complete Classic Venilla,900 gm,"৳ 1,700"
https://cdn.chaldal.net/_mpimage/junior-horlicks-jar-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45497&q=low&v=1&m=400&q=low&w=200,Junior Horlicks Jar,500 gm,৳ 410
https://cdn.chaldal.net/_mpimage/junior-horlicks-refill-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45498&q=low&v=1&m=400&q=low&w=200,Junior Horlicks Refill,400 gm,৳ 390
https://cdn.chaldal.net/_mpimage/cadbury-bourn-vita-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45479&q=low&v=1&m=400&q=low&w=200,Cadbury Bourn Vita,200 gm,৳ 200
https://cdn.chaldal.net/_mpimage/mothers-horlicks-bib-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45499&q=low&v=1&m=400&q=low&w=200,Mother's Horlicks Bib,350 gm,৳ 490
https://cdn.chaldal.net/_mpimage/horlicks-jar-1050-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45491&q=low&v=1&m=400&q=low&w=200,Horlicks Jar,1050 gm,৳ 695
https://cdn.chaldal.net/_mpimage/horlicks-jar-550-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45490&q=low&v=1&m=400&q=low&w=200,Horlicks Jar,550 gm,৳ 395
https://cdn.chaldal.net/_mpimage/nestle-milo-active-b-pouch-thai-140-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45500&q=low&v=1&m=400&q=low&w=200,Nestle Milo Active B Pouch Thai,140 gm,৳ 215
https://cdn.chaldal.net/_mpimage/nestle-nesquik-strawberry-powder-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45503&q=low&v=1&m=400&q=low&w=200,Nestle Nesquik Strawberry Powder,300 gm,৳ 335
https://cdn.chaldal.net/_mpimage/pedia-sure-complete-classic-venilla-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45505&q=low&v=1&m=400&q=low&w=200,Pedia Sure Complete Classic Venilla,400 gm,৳ 998
https://cdn.chaldal.net/_mpimage/horlicks-lite-jar-330-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45494&q=low&v=1&m=400&q=low&w=200,Horlicks Lite Jar,330 gm,৳ 380
https://cdn.chaldal.net/_mpimage/cadbury-bourn-vita-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45480&q=low&v=1&m=400&q=low&w=200,Cadbury Bourn Vita,500 gm,৳ 425
https://cdn.chaldal.net/_mpimage/horlicks-healthy-couple-pack-free-horlicks-mug-730-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45489&q=low&v=1&m=400&q=low&w=200,Horlicks Healthy Couple Pack (Free Horlicks Mug),730 gm,৳ 860
https://cdn.chaldal.net/_mpimage/boost-chocolate-jar-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D46220&q=low&v=1&m=400&q=low&w=200,Boost Chocolate Jar,400 gm,৳ 395
https://cdn.chaldal.net/_mpimage/complan-creamy-classic-plain-bib-350-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45487&q=low&v=1&m=400&q=low&w=200,Complan Creamy Classic Plain Bib,350 gm,৳ 360
https://cdn.chaldal.net/_mpimage/horlicks-light-jar-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45493&q=low&v=1&m=400&q=low&w=200,Horlicks Light Jar,500 gm,৳ 560
https://cdn.chaldal.net/_mpimage/nestle-milo-hi-cal-can-240-ml?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45501&q=low&v=1&m=400&q=low&w=200,Nestle Milo Hi-Cal Can,240 ml,৳ 125
https://cdn.chaldal.net/_mpimage/junior-horlicks-bundle-offer-jar-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45496&q=low&v=1&m=400&q=low&w=200,Junior Horlicks Bundle Offer (Jar),400 gm,৳ 580
https://cdn.chaldal.net/_mpimage/horlicks-traditional-jar-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45495&q=low&v=1&m=400&q=low&w=200,Horlicks Traditional Jar,500 gm,৳ 580
https://cdn.chaldal.net/_mpimage/horlicks-growth-plus-jar-400-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45488&q=low&v=1&m=400&q=low&w=200,Horlicks Growth Plus Jar,400 gm,৳ 840
https://cdn.chaldal.net/_mpimage/horlicks-light-chocolate-jar-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45492&q=low&v=1&m=400&q=low&w=200,Horlicks Light Chocolate Jar,500 gm,৳ 550
https://cdn.chaldal.net/_mpimage/complan-chocolate-jar-450-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45486&q=low&v=1&m=400&q=low&w=200,Complan Chocolate Jar,450 gm,৳ 500
