ImageUrl,Name,Quantity,Price
https://cdn.chaldal.net/_mpimage/onion-indian-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28790&q=low&v=1&m=400&q=low&w=200,Onion (Indian),1 kg,৳ 52
https://cdn.chaldal.net/_mpimage/potato-regular-net-weight-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28792&q=low&v=1&m=400&q=low&w=200,Potato Regular (Net Weight ± 50 gm),1 kg,৳ 24
https://cdn.chaldal.net/_mpimage/garlic-premium-big-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D15026&q=low&v=1&m=400&q=low&w=200,Garlic Premium (Big),250 gm,৳ 47
https://cdn.chaldal.net/_mpimage/red-tomato-net-weight-10-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D44732&q=low&v=1&m=400&q=low&w=200,Red Tomato (Net Weight ± 10 gm),500 gm,৳ 62
https://cdn.chaldal.net/_mpimage/big-potato-net-weight-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D34656&q=low&v=1&m=400&q=low&w=200,Big Potato (Net Weight ± 50 gm),1 kg,৳ 25
https://cdn.chaldal.net/_mpimage/ginger-indian-net-weight-10-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D22301&q=low&v=1&m=400&q=low&w=200,Ginger Indian (Net Weight ± 10 gm),250 gm,৳ 43
https://cdn.chaldal.net/_mpimage/onion-local-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D30251&q=low&v=1&m=400&q=low&w=200,Onion (Local),1 kg,৳ 62
https://cdn.chaldal.net/_mpimage/coriander-leaves-100-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28562&q=low&v=1&m=400&q=low&w=200,Coriander Leaves,100 gm,৳ 18
https://cdn.chaldal.net/_mpimage/green-chili-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28576&q=low&v=1&m=400&q=low&w=200,Green Chili,200 gm,৳ 22
https://cdn.chaldal.net/_mpimage/carrot-net-weight-20-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28963&q=low&v=1&m=400&q=low&w=200,Carrot (Net Weight ± 20 gm),500 gm,৳ 32
https://cdn.chaldal.net/_mpimage/potol-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D35666&q=low&v=1&m=400&q=low&w=200,Potol,500 gm,৳ 28
https://cdn.chaldal.net/_mpimage/long-lemon-4-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D34663&q=low&v=1&m=400&q=low&w=200,Long Lemon,4 pcs,৳ 35
https://cdn.chaldal.net/_mpimage/ladies-finger-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28563&q=low&v=1&m=400&q=low&w=200,Ladies Finger,500 gm,৳ 25
https://cdn.chaldal.net/_mpimage/green-papaya-net-weight-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D34659&q=low&v=1&m=400&q=low&w=200,Green Papaya (Net Weight ± 50 gm),1 kg,৳ 33
https://cdn.chaldal.net/_mpimage/red-spinach-1-bundle-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D7226&q=low&v=1&m=400&q=low&w=200,Red Spinach (1 Bundle),200 gm,৳ 17
https://cdn.chaldal.net/_mpimage/deshi-cucumber-net-weight-20-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28794&q=low&v=1&m=400&q=low&w=200,Deshi Cucumber (Net Weight ± 20 gm),500 gm,৳ 38
https://cdn.chaldal.net/_mpimage/sweet-pumpkin-1-slice?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28900&q=low&v=1&m=400&q=low&w=200,Sweet Pumpkin 1 slice,,৳ 23
https://cdn.chaldal.net/_mpimage/snake-gourd-net-weight-20-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28583&q=low&v=1&m=400&q=low&w=200,Snake Gourd (Net Weight ± 20 gm),500 gm,৳ 40
https://cdn.chaldal.net/_mpimage/cucumber-net-weight-20-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28793&q=low&v=1&m=400&q=low&w=200,Cucumber (Net Weight ± 20 gm),500 gm,৳ 40
https://cdn.chaldal.net/_mpimage/water-spinach-1-bundle-180-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28561&q=low&v=1&m=400&q=low&w=200,Water Spinach (1 Bundle),180 gm,৳ 15
https://cdn.chaldal.net/_mpimage/green-capsicum-net-weight-20-gm-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28574&q=low&v=1&m=400&q=low&w=200,Green Capsicum (Net Weight ± 20 gm),250 gm,৳ 105
