ImageUrl,Name,Quantity,Price
https://cdn.chaldal.net/_mpimage/green-coconut-daab-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D40755&q=low&v=1&m=400&q=low&w=200,Green Coconut (Daab),each,৳ 80
https://cdn.chaldal.net/_mpimage/chompa-banana-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D31723&q=low&v=1&m=400&q=low&w=200,Chompa Banana,12 pcs,৳ 65
https://cdn.chaldal.net/_mpimage/malta-net-weight-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28590&q=low&v=1&m=400&q=low&w=200,Malta (Net Weight ± 50 gm),1 kg,৳ 250
https://cdn.chaldal.net/_mpimage/guava-thai-net-weight-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D26172&q=low&v=1&m=400&q=low&w=200,Guava Thai (Net Weight ± 50 gm),1 kg,৳ 95
https://cdn.chaldal.net/_mpimage/banana-sagor-kola-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D22457&q=low&v=1&m=400&q=low&w=200,Banana Sagor (Kola),12 pcs,৳ 110
https://cdn.chaldal.net/_mpimage/gala-apple-net-weight-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D18115&q=low&v=1&m=400&q=low&w=200,Gala Apple (Net Weight ± 50 gm),1 kg,৳ 215
https://cdn.chaldal.net/_mpimage/pineapple-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D34715&q=low&v=1&m=400&q=low&w=200,Pineapple,each,৳ 50
https://cdn.chaldal.net/_mpimage/green-apple-net-weight-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D31728&q=low&v=1&m=400&q=low&w=200,Green Apple (Net Weight ± 50 gm),1 kg,৳ 238
https://cdn.chaldal.net/_mpimage/hog-plum-amra-net-weight-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D23157&q=low&v=1&m=400&q=low&w=200,Hog Plum (Amra) (Net Weight ± 50 Gm),1 kg,৳ 45
https://cdn.chaldal.net/_mpimage/pear-red-nashpati-net-weight-30-gm-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D40499&q=low&v=1&m=400&q=low&w=200,Pear Red (Nashpati) Net Weight (± 30 gm),500 gm,৳ 160
https://cdn.chaldal.net/_mpimage/coconut-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28588&q=low&v=1&m=400&q=low&w=200,Coconut,each,৳ 60
https://cdn.chaldal.net/_mpimage/orange-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D34653&q=low&v=1&m=400&q=low&w=200,Orange,1 kg,৳ 250
https://cdn.chaldal.net/_mpimage/pomegranate-dalimbedana-net-weight-50-gm-1-kg?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D28589&q=low&v=1&m=400&q=low&w=200,Pomegranate Dalim/Bedana (Net Weight ± 50 gm),1 kg,৳ 360
https://cdn.chaldal.net/_mpimage/pomelo-fruit-jambura-1-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D27679&q=low&v=1&m=400&q=low&w=200,Pomelo Fruit (Jambura),each,৳ 40
https://cdn.chaldal.net/_mpimage/banana-sobri-kola-12-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D30238&q=low&v=1&m=400&q=low&w=200,Banana Sobri (Kola),12 pcs,৳ 110
https://cdn.chaldal.net/_mpimage/red-grapes-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D26171&q=low&v=1&m=400&q=low&w=200,Red Grapes,250 gm,৳ 130
