ImageUrl,Name,Quantity,Price
https://cdn.chaldal.net/_mpimage/regular-bread-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45368&q=low&v=1&m=400&q=low&w=200,Regular Bread,300 gm,৳ 35
https://cdn.chaldal.net/_mpimage/ruchi-puffed-rice-muri-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45372&q=low&v=1&m=400&q=low&w=200,Ruchi Puffed Rice (Muri),500 gm,৳ 58
https://cdn.chaldal.net/_mpimage/dan-cake-vanilla-muffin-25-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D46675&q=low&v=1&m=400&q=low&w=200,Dan Cake Vanilla Muffin,25 gm,৳ 15
https://cdn.chaldal.net/_mpimage/golden-harvest-frozen-paratha-family-pack-20-pcs?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45353&q=low&v=1&m=400&q=low&w=200,Golden Harvest Frozen Paratha Family Pack,20 pcs,৳ 250
https://cdn.chaldal.net/_mpimage/ruchi-puffed-rice-muri-250-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45369&q=low&v=1&m=400&q=low&w=200,Ruchi Puffed Rice (Muri),250 gm,৳ 32
https://cdn.chaldal.net/_mpimage/well-food-honey-bread-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45387&q=low&v=1&m=400&q=low&w=200,Well Food Honey Bread,500 gm,৳ 75
https://cdn.chaldal.net/_mpimage/dan-cake-chocolate-muffin-12-packs-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45345&q=low&v=1&m=400&q=low&w=200,Dan Cake Chocolate Muffin 12 packs,300 gm,৳ 180
https://cdn.chaldal.net/_mpimage/pran-puffed-rice-muri-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45390&q=low&v=1&m=400&q=low&w=200,PRAN Puffed Rice (Muri),500 gm,৳ 58
https://cdn.chaldal.net/_mpimage/pran-flattened-rice-chira-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45364&q=low&v=1&m=400&q=low&w=200,PRAN Flattened Rice (chira),500 gm,৳ 50
https://cdn.chaldal.net/_mpimage/dan-cake-vanilla-muffin-12-packs-300-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45347&q=low&v=1&m=400&q=low&w=200,Dan Cake Vanilla Muffin 12 packs,300 gm,৳ 180
https://cdn.chaldal.net/_mpimage/agrobiz-puffed-rice-hand-made-muri-200-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D46661&q=low&v=1&m=400&q=low&w=200,Agrobiz Puffed Rice (Hand Made Muri),200 gm,৳ 35
https://cdn.chaldal.net/_mpimage/well-food-brown-bread-500-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D45374&q=low&v=1&m=400&q=low&w=200,Well Food Brown Bread,500 gm,৳ 115
